Model,Age
AF-200,32.57142857
AF-201,23.66666667
AF-202,24.44827586
AF-203,22.75862069
AF-204,30.13793103
AF-205,26.59259259
AF-206,26.52380952
AF-207,28.4137931
AF-208,28.53846154
AF-209,22.56
AF-210,23.53846154
AF-211,22.5
AF-212,23.85714286
AF-213,40.18181818
AF-214,26.84615385
AF-215,30.44444444
AF-216,25.93333333
AF-217,19.70833333
AF-218,24.03571429
AF-219,25.10714286
AF-220,25.26086957
AF-221,25.62962963
AF-222,24.86206897
AF-223,44.80769231
AF-224,28.76
AF-225,22.14285714
AF-226,29.24
AF-227,27.11538462
AF-228,24.76923077
AF-229,25.85185185
AF-230,24.14814815
AF-231,46.58333333
AF-232,29.69230769
AF-233,22.39285714
AF-234,24.2962963
AF-235,23.5
AF-236,37.66666667
AF-237,30.51851852
AF-238,37.55555556
AF-239,28.2962963
AF-240,27.27586207
AF-241,31.875
AF-242,27.03571429
AF-243,26.75862069
AF-244,29.20833333
AF-245,30.22222222
AF-246,25
AF-247,25.96428571
AF-248,34.17241379
AF-249,26
AF-250,25.10344828
AF-251,22.64285714
AF-252,22.34482759
AF-253,25.55172414
AF-254,37.12
AF-255,26
AF-256,24
AM-201,23.8
AM-202,26.22222222
AM-203,26.54166667
AM-204,23.91666667
AM-205,34.83333333
AM-206,26.92857143
AM-207,25.91666667
AM-208,23.32142857
AM-209,27.75
AM-210,21.04761905
AM-211,26.32142857
AM-212,25.55555556
AM-213,28.07142857
AM-214,29.22222222
AM-215,56.38461538
AM-216,28.48
AM-217,43
AM-218,33.59259259
AM-219,36.9
AM-220,23.79310345
AM-221,24.11538462
AM-223,21.92592593
AM-224,28.96
AM-225,24.68
AM-226,46.81818182
AM-227,41.42307692
AM-228,25.32142857
AM-229,24.76923077
AM-230,28.95454545
AM-231,26.93103448
AM-232,27.30769231
AM-233,41.17857143
AM-234,27.26923077
AM-235,35.16
AM-236,31.75
AM-237,29.44
AM-238,27.42307692
AM-239,35.6
AM-240,34.42307692
AM-241,37.38461538
AM-242,29.36
AM-243,23.88
AM-244,25.67857143
AM-245,25.73076923
AM-246,29.07142857
AM-247,35.875
AM-248,33.84615385
AM-249,23.66666667
AM-250,25.88461538
AM-251,28.65384615
AM-252,23.32
AM-253,25.03448276
BF-001,28.49438202
BF-002,21.34408602
BF-003,25.80898876
BF-004,26.98369565
BF-005,28.12087912
BF-006,27.92631579
BF-007,30.51086957
BF-008,24.57471264
BF-009,30.07446809
BF-010,29.2
BF-011,28.58510638
BF-012,26.77659574
BF-013,18.31521739
BF-014,27.22988506
BF-015,29.53608247
BF-016,27.09302326
BF-017,34.26966292
BF-018,26.9010989
BF-019,29.7032967
BF-020,26.45744681
BF-021,26.40860215
BF-023,30.75
BF-024,36.30769231
BF-025,25.27659574
BF-027,38
BF-028,22.62365591
BF-029,23.13483146
BF-030,22.97894737
BF-031,26.33695652
BF-032,30.48958333
