Model,Age
IF601-519,32.3
IF602-134,25.73684211
IF605-066,43.96875
IF608-390,22.02777778
IF609-408,52.85185185
IF610-766,24.4137931
IF612-149,25.83333333
IF614-107,29.7
IF618-212,40.70588235
IF619-197,26.48387097
IF620-218,21.3030303
IF622-096,30.05714286
IF623-129,28.45454545
IF625-225,33
IF626-375,29.27777778
IF629-234,30.5
IF631-363,25.84848485
IF633-012,22.57142857
IF634-382,35.45454545
IF636-011,33.08333333
IF641-504,25.30769231
IF642-295,25.10810811
IF644-306-1,43.07692308
IF649-016,31.6
IF650-315,35.11428571
IF660-464,27.15151515
IF665-015,47.85294118
IF668-009,28.4
IF672-305,43.21428571
IF673-389,37.79411765
IF676-017,48.7027027
IF677-452-1,45
IF691-007,23.78378378
IF693-172,25.09090909
IF704-125,38.38235294
IF705-196,28.02777778
IF710-016,26.77142857
IF713-170,26.66666667
IF714-008-1,46.08108108
IF718-001,28.84210526
IF722-456,37.64705882
IF723-255,27.79411765
IF729-393,27.45454545
IF730-410,28.21875
IF732-260,30.10526316
IF733-110,29.61290323
IF734-108,24.83870968
IF735-353,27.23529412
IF737-104,51.25
IF741-040,26.08571429
IF742-103,28.75
IF744-114,26.20689655
IM603-305,29.63636364
IM604-014,37.57894737
IM606-008,48.44444444
IM607-018,28.66666667
IM611-306,36.5
IM613-169,27.60869565
IM615-167,42.95238095
IM616-214,29.65217391
IM617-174,45.94117647
IM621-136,33.14285714
IM627-178,28.45454545
IM628-176,40.1
IM630-134,32.83333333
IM632-097,31.52631579
IM635-010,43.5
IM637-007,44.75
IM638-250-1,33.0625
IM639-263,50
IM640-009,36.58823529
IM645-001,40.76190476
IM646-023,38.21052632
IM647-548,31.86363636
IM648-337,35.47058824
IM651-308,32.10526316
IM652-191,49.35
IM653-008,26.95
IM654-417,52.22222222
IM655-234,41.95454545
IM656-273,43.11111111
IM657-308,32.77777778
IM658-284,44.73684211
IM659-359,44.6
IM661-254,38.36363636
IM662-171,32.66666667
IM663-230,32.4
IM664-651,38.0952381
IM666-372,29.625
IM667-369,32.64705882
IM669-111,37.47368421
IM670-215,41.86363636
IM671-601,26.80952381
IM674-281,26.47368421
IM675-015,23.76470588
IM678-482,32.91666667
IM679-069,28.22222222
IM680-369,33.0625
IM681-253,33.72727273
IM682-019,30.66666667
IM683-231,27.68181818
IM684-008,39.2
IM685-004,38.31578947
IM686-097,36.8
IM687-511,31.1
IM688-322,26.10526316
IM689-263,32.72727273
IM690-282,33
IM692-011,25.61904762
IM694-297,25.38888889
IM695-001,19.57894737
IM696-001,26
IM697-015,22.25
IM698-011,20.84210526
IM699-002,25.33333333
IM700-009,29
IM701-312,26.23529412
IM702-101,25.75
IM703-182,29.55
IM706-002,29.1875
IM707-105,33.47619048
IM708-362,41.82608696
IM709-103,33.45454545
IM711-011,25.23809524
IM712-005,25.47826087
IM715-013,21.9375
IM716-316,21.81818182
IM717-110,28.26086957
IM719-220,21.08695652
IM720-014,20.0952381
IM721-341,30.35714286
IM724-010,33
IM725-142,27.30434783
IM726-248,31.88235294
IM727-195,33.38888889
IM728-041,26.5
IM731-223,28.9
IM736-361,27.78947368
IM738-191,52.5
IM739-012,29.11111111
IM740-273,31.57142857
IM743-006,26.8
