Model,Age,Afraid,Angry,Attractive,Babyfaced,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Warm,Competent,SocialStatus
IF601-519,32.3,2.533333333,2.333333333,4.766666667,2.6,2.6,,6,4.633333333,2.133333333,3.033333333,2.3,,3.533333333,3.133333333,4.666666667,3.3,4.233333333,4.466666667,5.133333333
IF602-134,25.73684211,3.710526316,2.684210526,4.447368421,3.868421053,2.973684211,,5.657894737,3.131578947,2,3.379310345,4.026315789,,3.315789474,2.710526316,4.684210526,3.052631579,4,4.578947368,4.815789474
IF605-066,43.96875,3,2.46875,3.9375,2.90625,2.5625,,4.875,3.53125,2.59375,1.793103448,3.28125,,2.96875,2.78125,4.3125,2.875,3.9375,3.90625,4.625
IF608-390,22.02777778,3.638888889,2.694444444,4.083333333,3.611111111,3.277777778,,4.888888889,2.361111111,2.333333333,2.793103448,4.805555556,,2.472222222,3,4.166666667,3.138888889,3.333333333,3.277777778,4.194444444
IF609-408,52.85185185,3.296296296,3,3.333333333,2.407407407,3.185185185,,5.074074074,3.888888889,2.740740741,2.833333333,3.111111111,,3.222222222,3.259259259,4.037037037,3.666666667,3.814814815,3.962962963,4.296296296
IF610-766,24.4137931,2.724137931,2.482758621,5.448275862,4.172413793,2.586206897,,5.793103448,3.827586207,2.724137931,3.741935484,3.206896552,,3.103448276,3.034482759,4.793103448,2.517241379,4.75862069,4.724137931,5.655172414
IF612-149,25.83333333,3.166666667,2.566666667,4.1,3.2,3.233333333,,5.466666667,3.266666667,2.866666667,2.586206897,3.833333333,,2.5,2.8,3.733333333,3.366666667,3.633333333,3.766666667,4.433333333
IF614-107,29.7,2.925,2.325,4.5,2.925,2.75,,5.025,3.525,2.7,2.925925926,3.575,,3.1,2.275,4.5,2.875,3.775,4.1,4.75
IF618-212,40.70588235,2.470588235,2.470588235,3.764705882,2.323529412,2.5,,5.617647059,3.558823529,2.558823529,3.035714286,3,,3,2.352941176,4.176470588,2.705882353,3.794117647,4.411764706,4.970588235
IF619-197,26.48387097,2.548387097,2.451612903,4.322580645,2.548387097,2.387096774,,5.322580645,4,3.290322581,3.724137931,2.580645161,,2.64516129,2.483870968,4.838709677,3.193548387,4.129032258,4.612903226,4.516129032
IF620-218,21.3030303,3,2.606060606,4.242424242,4.454545455,2.666666667,,5.878787879,3,2.212121212,3.6,3.242424242,,2.666666667,2.545454545,4.515151515,3,4.090909091,4.393939394,4.515151515
